attach,https://node02.gubiota.ch:443 score: 40.19617642600245 scoreNorm: 0.17684648498035208
1182,6227,0
870,2219,1
25003,4129,2
82536,91807,4
-1,-1,5
-1,-1,3
-1,-1,6
-1,-1,7
79977,21975,8
15753,29831,9
19217,15309,10
5590,4926,11
1222,4821,12
16487,10191,13
1118,46442,14
-1,-1,16
-1,-1,15
-1,-1,17
-1,-1,18
54150,32664,19
3390,89571,20
901,22407,21
30195,44903,22
25863,2852,23
14514,15526,24
1932,3620,25
536,17587,26
33961,13024,27
26047,20061,28
17892,68318,29
29595,38681,30
579,17408,31
809,27427,32
1363,11249,33
959,8310,34
812,103451,35
32129,17647,36
2915,28402,37
647,4683,38
38150,40596,40
-1,-1,39
-1,-1,41
-1,-1,42
-1,-1,43
-1,-1,44
