attach,https://nodes.iota.cafe:443 score: 1.7571931297849148 scoreNorm: 0.007595943735118066
5056,1148,0
333,104,1
323,96,2
289,107,3
507,107,4
531,107,5
350,98,6
380,104,7
368,107,8
437,127,9
414,108,10
762,98,11
618,126,12
438,159,13
620,114,14
356,134,15
595,127,16
359,127,17
522,95,18
817,96,19
395,129,20
440,108,21
708,96,22
335,108,23
460,115,24
316,114,25
442,110,26
595,127,27
656,108,28
445,116,29
403,115,30
521,108,31
537,127,32
419,113,33
427,108,34
386,114,35
333,127,36
506,127,37
606,114,38
423,114,39
466,96,40
471,109,41
346,96,42
372,96,43
336,109,44
