attach,https://nodes.tangled.it:443 score: 28.40062024861173 scoreNorm: 0.12276938134700961
401,86,0
231,81,1
599,87,2
303,5488,3
18652,20674,4
586,363,5
376,147,6
824,10960,7
1103,13984,8
501,76,9
2482,120,10
375,71,11
12598,34401,12
1118,74,13
466,81,14
512,74,15
475,67,16
482,76,17
58914,831,18
8125,62,19
15861,1460,20
393,87,21
307,63,22
552,88,23
341,81,24
344,55,25
261,139,26
581,296,27
555,63,28
15377,36328,29
11836,220,30
10535,565,31
343,76,32
13581,11231,33
6461,75,34
336,74,35
533,399,36
4085,24724,37
38646,432,38
8857,231,39
8251,11717,40
5481,76,41
359,68,42
449,117,43
345,67,44
