attach,http://167.86.108.113:14265 score: 0 scoreNorm: 0
5898,24,0
1293,41,1
1440,41,2
1076,35,3
1333,42,4
1717,37,5
1281,22,6
1486,1293,7
1792,18722,8
5348,39,9
1545,25,10
1399,26,11
1575,47,12
1635,44,13
1524,44,14
1560,43,15
1381,1313,16
1503,1285,17
1433,40,18
1388,38,19
1453,36,20
1635,25,21
1394,44,22
1382,36,23
5834,27,24
1596,27,25
1481,39,26
1652,43,27
1636,25,28
1501,41,29
1500,24,30
1489,26,31
1563,27,32
9608,47,33
1404,29,34
1573,22,35
1645,52,36
2272,21,37
5254,17,38
4183,45,39
14570,36,40
1594,37,41
54482,22,42
4852,28,43
1700,27,44
