attach,http://me2byme2.com:14265 score: 10.337293287429546 scoreNorm: 0.0432162808224573
698212,15452,0
587906,80335,1
386681,495591,2
203637,637277,3
152250,666043,4
220618,389724,5
140017,448467,6
57116,583410,7
570474,15514,8
63258,522249,9
6472,548429,10
515466,38396,11
242193,233183,12
141309,352473,13
48438,428912,14
378955,113227,15
231154,223542,16
189963,250347,17
119240,283820,18
3524,443720,19
346584,140117,20
147983,542860,21
84724,620605,22
585835,39834,23
464265,142416,24
274824,319169,25
114297,456345,26
524637,3310,27
429560,59373,28
393749,64921,29
289989,225818,30
202384,439357,31
127944,547348,32
55634,611059,33
480336,152458,34
108239,525408,35
539955,277831,36
396615,490256,37
361155,491244,38
291528,567741,39
220773,608891,40
141708,648074,41
106265,679739,42
775754,333,43
452269,453964,44
