attach,https://contabo02.pinter-net.at:14267 score: 28.85617084801197 scoreNorm: 0.12231293448894161
2587,77,0
482,47,1
972,51,2
874,65,3
16001,61,4
2312,46,5
783,46,6
659,104,7
531,77,8
1268,71,9
740,72,10
747,53,11
313,52,12
1017,82,13
740,80,14
715,70,15
1532,107,16
497,78,17
620,101,18
823,45,19
554,72,20
488,290,21
1190,79,22
807,65,23
1702,74,24
1862,77,25
1091,77,26
831,69,27
1977,46,28
566,58,29
344,59,30
1277,1116,31
1825,101,32
693,66,33
1815,59,34
946,68,35
1242,68,36
731,66,37
1639,71,38
1120,50,39
1599,53,40
456,163,41
767,75,42
1319,81,43
3852,75,44
