attach,http://mandelhost.de:14265 score: 56.34709213256836 scoreNorm: 0.23883897225844192
1030,60,0
1752,51,1
1020,25,2
20869,46977,3
6548,28,4
711,44,5
2213,40,6
39083,337,7
37604,16773,8
10477,12293,9
621,23,10
34616,33,11
13967,4038,12
12931,6870,13
2978,18518,14
32320,14886,15
939,61,16
680,37,17
1280,31,18
1381,59,19
17453,449,20
20761,18779,21
756,40,22
1262,48,23
48156,80431,24
41301,112637,25
114488,25578,26
36195,45293,27
5115,102898,28
25245,104902,29
4828,146869,30
37060,123095,31
1861,130825,32
60868,47745,33
39473,107663,34
92368,86536,35
23649,106295,36
46261,60179,37
33045,68667,38
6110,65505,39
56627,19947,40
7184,28842,41
20618,5182,42
8865,337,43
1061,57,44
