attach,https://node01.gubiota.ch:443 score: 38.39248356320395 scoreNorm: 0.16519149397587687
-1,-1,0
111490,810,1
-1,-1,2
109407,9684,3
77807,85046,4
-1,-1,5
105788,16517,6
-1,-1,7
-1,-1,8
-1,-1,9
95282,105689,10
-1,-1,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,15
-1,-1,17
-1,-1,16
-1,-1,19
-1,-1,18
-1,-1,20
-1,-1,22
-1,-1,21
-1,-1,23
-1,-1,25
-1,-1,26
-1,-1,24
-1,-1,28
-1,-1,27
-1,-1,29
-1,-1,30
-1,-1,32
-1,-1,31
-1,-1,34
-1,-1,33
-1,-1,35
-1,-1,36
-1,-1,38
-1,-1,37
-1,-1,39
-1,-1,41
-1,-1,40
-1,-1,42
106274,24164,43
85778,49297,44
