attach,https://trinity.iota-tangle.io:14265 score: 100.46641190350056 scoreNorm: 0.4322772359702504
549,93,0
467,3007,1
1324,73,2
479,96,3
518,67,4
879,1571,5
407,80,6
958,167,7
539,83,8
486,102,9
573,127,10
578,83,11
2358,118,12
397,78,13
438,87,14
1160,84,15
459,82,16
651,82,17
1575,72,18
462,85,19
480,91,20
1411,91,21
573,81,22
1272,108,23
429,92,24
379,74,25
263,105,26
657,71,27
505,99,28
649,220,29
564,79,30
822,93,31
518,79,32
744,100,33
665,114,34
382,92,35
284,113,36
783,97,37
608,74,38
596,115,39
541,95,40
635,116,41
441,97,42
475,114,43
668,101,44
