attach,https://iota.chain.garden:443 score: 6.353774260695304 scoreNorm: 0.028552265616408213
1117,186,0
853,201,1
1475,192,2
982,199,3
990,184,4
1545,206,5
2061,213,6
1432,385,7
790,910,8
1222,186,9
1223,196,10
1683,200,11
899,202,12
503,197,13
1013,237,14
1148,208,15
607,187,16
1122,192,17
896,192,18
863,198,19
655,192,20
1132,192,21
1075,197,22
1916,273,23
1224,213,24
1609,174,25
925,174,26
1193,180,27
766,176,28
911,300,29
610,187,30
1287,184,31
846,175,32
1219,145,33
1480,140,34
1404,178,35
1246,170,36
1242,134,37
939,150,38
624,148,39
765,137,40
714,140,41
946,133,42
947,153,43
406,139,44
