attach,http://iota-fn01.sairai.de:14265 score: 10.117296499504413 scoreNorm: 0.04546458925378871
1719,61,0
1198,68,1
1573,55,2
1371,69,3
928,73,4
1446,51,5
1320,53,6
1034,65,7
14198,59,8
938,51,9
652,54,10
890,58,11
1754,58,12
1437,59,13
588,64,14
1161,52,15
1155,72,16
843,67,17
1017,71,18
700,53,19
459,65,20
467,54,21
1250,59,22
868,73,23
555,73,24
1148,67,25
1487,62,26
1237,66,27
1318,55,28
779,59,29
611,73,30
914,75,31
1204,66,32
964,55,33
1537,46,34
1038,54,35
855,39,36
1155,45,37
1196,38,38
1161,37,39
722,124,40
1776,48,41
1375,34,42
507,43,43
500,50,44
