attach,https://node.vanityfive.de:443 score: 1.153211242445159 scoreNorm: 0.004813177918932774
1072,56,0
440,61,1
722,50,2
412,51,3
462,71,4
391,55,5
966,37,6
324,50,7
3499,60,8
557,28,9
320,40,10
343,61,11
734,28,12
657,46,13
433,40,14
682,59,15
895,28,16
818,59,17
528,44,18
524,46,19
780,51,20
316,48,21
818,46,22
619,33,23
503,66,24
704,70,25
922,47,26
702,50,27
661,46,28
607,38,29
599,47,30
630,36,31
482,68,32
1327,69,33
850,50,34
522,53,35
554,68,36
550,68,37
546,69,38
513,48,39
572,50,40
505,68,41
587,69,42
3731,69,43
471,70,44
