attach,http://207.180.224.65:14265 score: 27.5702919177711 scoreNorm: 0.11507060926303549
880,45,0
944,49,1
746,39,2
22039,7733,3
20429,277,4
2524,1110,5
4950,12,6
2562,382,7
-1,-1,8
-1,-1,9
639,39,10
650,22,11
2838,6259,12
1048,20,13
504,28,14
2956,1801,15
10026,49,16
11858,26,17
15973,6315,18
2177,22,19
4631,26,20
319,38,21
897,30,22
583,30,23
563,22,24
2171,916,25
670,22,26
4014,28,27
12922,23,28
5774,29,29
846,43,30
785,23,31
12590,29,32
3669,69,33
633,42,34
2922,47,35
3341,29,36
631,24,37
504,24,38
602,23,39
355,37,40
1192,43,41
965,30,42
658,32,43
677,38,44
