attach,https://wallet2.iota.town:443 score: 13.734056439399717 scoreNorm: 0.0609875400382661
22377,38138,0
89864,510,1
21559,3972,2
4870,387,3
179125,750,4
52144,16140,5
16782,59907,6
130439,981,8
132438,276641,7
55335,297136,9
365691,135528,10
237416,261159,11
421019,1105,13
350675,2961,14
306392,5944,15
129204,230345,16
354077,77906,17
217800,291946,18
183293,342682,19
458159,486213,12
456101,54060,20
409209,67015,21
268047,178694,22
120038,311167,23
55510,347103,24
311069,44345,25
234949,81938,26
137021,106727,27
133173,2364,29
79564,54134,30
53472,141246,31
199356,209034,28
170850,20637,32
4068,269361,33
56181,263731,34
89351,130516,36
37389,137958,37
91922,20941,38
33919,39974,39
18159,44253,40
276944,45421,35
228515,2476,41
145529,152138,42
336127,26897,43
208110,117201,44
