attach,http://node06.iotatoken.nl:14265 score: 58.06638391113282 scoreNorm: 0.2578499607368969
920,62,0
388,61,1
581,63,2
463,58,3
639,60,4
1147,56,5
603,58,6
9922,58,7
657,58,8
683,59,9
386,58,10
455,61,11
261,60,12
817,61,13
687,61,14
380,60,15
1287,69,16
951,62,17
640,63,18
964,63,19
609,62,20
343,62,21
637,62,22
715,68,23
324,65,24
1058,62,25
505,61,26
1013,62,27
719,59,28
329,61,29
1034,61,30
842,61,31
482,61,32
461,61,33
6631,60,34
831,63,35
679,60,36
603,61,37
512,75,38
3389,61,39
1095,61,40
6258,63,41
11523,64,42
418,64,43
5263,96,44
