attach,https://node-iota.org:14267 score: 14.294656871965056 scoreNorm: 0.06405329469444819
1011,68,0
-1,-1,1
684,37,2
726,50,3
647,47,4
605,66,5
356,49,6
596,60,7
423,53,8
29353,77,9
806,37,10
741,47,11
17724,80,12
457,48,13
592,68,14
552,58,15
818,78,16
629,48,17
529,34,18
13958,61,19
795,50,20
875,65,21
26743,38,22
540,60,23
770,50,24
606,52,25
388,85,26
1014,85,27
8633,68,28
1727,49,29
-1,-1,30
2609,47,31
1005,55,32
1528,72,33
18607,78,34
24477,95,35
711,76,36
437,59,37
32325,90,38
594,61,39
545,68,40
1138,40418,41
730,75,42
481,55,43
878,63,44
