attach,http://iota.antonionardella.eu:14265 score: 7.777243832295591 scoreNorm: 0.03472373364199563
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,3
-1,-1,4
-1,-1,5
-1,-1,6
-1,-1,7
-1,-1,8
-1,-1,9
-1,-1,10
736,78,11
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,17
-1,-1,16
-1,-1,15
-1,-1,18
-1,-1,19
-1,-1,20
376,27,21
42374,28,22
775,39,23
3122,50,24
39495,6746,26
71336,129457,25
105609,53499,27
39026,170883,28
38585,188040,29
120150,97258,30
45782,131300,31
61580,106877,32
156966,5014,33
46850,177928,34
45988,131891,35
117718,19413,36
56856,96853,37
16835,210930,38
167579,52481,39
91918,69067,40
39718,73747,42
53408,7534,43
172484,56302,41
6691,70240,44
