attach,https://nodes.thetangle.org:443 score: 81.98136356653792 scoreNorm: 0.3615893961718356
699,132,0
568,108,1
532,691,2
433,161,3
577,13122,4
363,130,5
504,739,6
442,135,7
342,389,8
1357,124,9
452,1556,10
595,8737,11
660,148,12
464,108,13
679,183,14
483,5567,15
560,150,16
547,159,17
467,843,18
688,134,19
364,2582,20
559,98,21
9940,127,22
505,208,23
481,98,24
556,104,25
576,124,26
557,727,27
1526,756,28
486,96,29
934,728,30
977,146,31
336,112,32
514,155,33
652,155,34
1067,734,35
419,164,36
1332,179,37
1111,175,38
743,95,39
-1,-1,40
646,3722,41
417,92,42
457,100,43
-1,-1,44
