attach,https://piota-node.com:443 score: 4.812650311845985 scoreNorm: 0.02106692792791931
678,90,0
645,92,1
491,117,2
571,91,3
351,99,4
827,94,5
813,135,6
614,112,7
719,519,8
643,81,9
741,110,10
691,109,11
708,80,12
746,114,13
748,80,14
1647,183,15
791,98,16
624,182,17
851,178,18
719,152,19
1045,163,20
599,155,21
697,174,22
1042,193,23
495,138,24
1097,179,25
821,119,26
774,173,27
687,1185,28
754,141,29
615,165,30
1243,108,31
825,107,32
761,126,33
1109,140,34
506,190,35
738,106,36
829,453,37
665,97,38
433,128,39
1323,152,40
884,163,41
575,119,42
753,147,43
590,114,44
