attach,https://pow.iota.community:443 score: 62.53588810563087 scoreNorm: 0.2737450182879426
959,203,0
834,213,1
955,190,2
803,229,3
713,129,4
957,215,5
934,210,6
1026,254,7
770,231,8
1156,248,9
871,228,10
978,227,11
985,267,12
758,190,13
753,213,14
2227,211,15
1055,227,16
925,244,17
5727,220,18
4495,237,19
511,202,20
524,223,21
1144,191,22
904,211,23
1123,221,24
3030,90,25
1559,203,26
16708,231,27
975,297,28
671,253,29
964,227,30
9561,186,31
1216,197,32
936,93,33
1148,217,34
807,215,35
1225,202,36
958,221,37
7489,212,38
1298,216,39
828,250,40
7479,189,41
6113,203,42
23473,213,43
973,257,44
