attach,https://papa.iota.family:14267 score: 24.01828161623532 scoreNorm: 0.10525677066573333
787,89,0
767,126,1
924,94,2
521,81,3
538,92,4
473,117,5
14075,93,6
556,91,7
697,89,8
387,82,9
766,103,10
961,110,11
596,66,12
463,89,13
521,100,14
615,123,15
668,68,16
766,85,17
860,126,18
480,127,19
613,125,20
599,348,21
640,151,22
748,132,23
525,104,24
383,136,25
724,146,26
413,135,27
482,83,28
767,100,29
743,124,30
410,106,31
732,113,32
808,133,33
691,80,34
421,95,35
886,98,36
862,81,37
731,114,38
1660,128,39
422,101,40
843,123,41
1261,142,42
10557,120,43
