attach,https://www.iotaqubic.us:443 score: 13.092225849590939 scoreNorm: 0.05737485452843054
1089,731,0
828,721,1
802,722,2
848,721,3
1022,727,4
987,898,5
1008,698,6
938,731,7
1513,715,8
768,726,9
870,720,10
864,715,11
1011,716,12
1071,725,13
1046,726,14
1384,741,15
1664,716,16
996,719,17
959,722,18
1003,724,19
956,709,20
1032,710,21
1056,713,22
1089,711,23
750,731,24
1164,718,25
992,721,26
1070,713,27
818,894,28
1208,719,29
1627,913,30
921,732,31
908,718,32
889,736,33
799,719,34
1250,755,35
2709,721,36
757,729,37
1257,723,38
804,726,39
1057,919,40
915,731,41
1067,723,42
