attach,https://v22017125353157610.bestsrv.de:14267 score: 3.5341159351517546 scoreNorm: 0.014769967301404414
584,40,0
716,26,1
316,57,2
531,43,3
456,57,4
774,33,5
643,48,6
861,39,7
1050,32,8
543,33,9
15625,58,10
649,52,11
784,55,12
812,48,13
462,41,14
921,59,15
459,67,16
454,52,17
663,78,18
648,56,19
457,73,20
276,67,21
608,53,22
597,67,23
413,43,24
524,88,25
924,71,26
698,74,27
760,41,28
705,53,29
631,72,30
306,61,31
1709,59,32
1082,72,33
682,73,34
809,52,35
567,67,36
467,71,37
463,73,38
449,81,39
766,44,40
446,57,41
568,46,42
502,74,43
636,76,44
