attach,https://iota1.chain.garden:443 score: 10.633354388686488 scoreNorm: 0.04725562765783408
624,79,0
556,90,1
700,56,2
880,61,3
648,95,4
455,57,5
788,66,6
645,81,7
506,49,8
440,78,9
702,88,10
616,46,11
756,73,12
436,45,13
522,62,14
389,56,15
484,48,16
913,47,17
925,75,18
1010,79,19
688,60,20
393,60,21
826,73,22
684,67,23
1166,100,24
1091,62,25
756,97,26
465,55,27
475,68,28
759,80,29
1037,88,30
969,70,31
802,92,32
895,70,33
945,67,34
466,103,35
901,67,36
1039,103,37
1211,72,38
1435,74,39
574,75,40
542,63,41
666,105,42
777,62,43
758,82,44
