attach,http://speedynode.ddns.net:14265 score: 12.57253439538766 scoreNorm: 0.05587352611287715
693,51,0
609,64,1
954,57,2
673,62,3
967,48,4
811,58,5
755,59,6
489,51,7
19011,49,8
913,43,9
966,38,10
637,37,11
1069,49,12
545,49,13
1066,35,14
603,35,15
754,55,16
446,42,17
512,42,18
782,36,19
1212,49,20
876,43,21
1065,39,22
703,40,23
592,41,24
987,57,25
810,62,26
809,56,27
1188,46,28
857,53,29
1075,61,30
1029,54,31
34728,68,32
1075,62,33
1373,55,34
712,50,35
1134,64,36
959,57,37
824,51,38
692,58,39
842,83,40
714,52,41
672,50,42
1225,66,43
770,70,44
