attach,https://ultranode.iotatoken.nl:443 score: 235.1354895426432 scoreNorm: 0.9994135057896114
514,114,0
4709,11410,1
2118,95,2
743,95,3
912,101,4
4543,24124,5
1020,249,6
575,83,7
477,113,8
541,82,9
11703,4989,10
8974,6265,11
13449,9482,12
814,374,13
2202,101,14
677,101,15
829,115,16
2632,534,17
553,101,18
709,101,19
4595,12872,20
810,83,21
607,102,22
2941,83,23
413,114,24
493,95,25
3479,336,26
628,84,27
1206,2581,28
459,95,29
5563,115,30
6084,247,31
522,95,32
5951,1198,33
989,95,34
326,84,35
947,195,36
1158,496,37
1880,13890,38
2861,283,39
663,115,40
7811,11206,41
803,84,42
376,84,43
461,83,44
