attach,https://django.zapto.org:14267 score: 1.670347116452838 scoreNorm: 0.007099598069124948
1336,83,0
638,76,1
694,95,2
15146,95,3
15347,96,4
1036,69,5
398,82,6
1122,445,7
589,1629,8
303,84,9
576,83,10
886,98,11
828,97,12
1311,84,13
517,64,14
1413,64,15
9814,66,16
667,77,17
1172,96,18
12677,64,19
202666,275,21
126266,14523,22
90727,124258,23
56320,132460,24
249035,135193,20
106582,11944,25
36084,18559,26
653,83,27
590,95,28
19277,309,30
60633,15618,29
22422,90,31
30729,83,32
511,76,33
905,97,34
576,64,35
1192,78,36
984,84,37
932,78,38
6865,84,39
34625,96,40
1167,102,41
442,85,42
326,78,43
1149,79,44
