attach,http://89.163.242.213:14265 score: 235.27347607421873 scoreNorm: 1
1214,70,0
489,49,1
974,49,2
620,57,3
497,69,4
765,56,5
541,63,6
1001,5426,7
693,69,8
697,50,9
22228,657,10
437,55,11
647,49,12
743,49,13
2784,3649,14
1142,6854,15
294,55,16
545,68,17
344,63,18
497,61,19
381,619,20
822,16963,21
3640,61,22
7866,327,23
1370,56,24
22055,3454,25
989,494,26
672,68,27
636,56,28
6600,869,29
2847,69,30
733,50,31
6745,349,32
377,56,33
2451,69,34
675,68,35
3661,8315,36
379,57,37
471,69,38
1203,51,39
905,63,40
698,50,41
4473,7451,42
10884,6374,43
1084,50,44
