attach,https://iotanode.world:14267 score: 27.976894954990428 scoreNorm: 0.1127339329922183
1649,65,0
1239,69,1
2552,69,2
3903,65,3
3196,14692,4
3448,77,5
2266,67,6
1166,92,7
8535,95,8
1760,48,9
936,79,10
1897,79,11
1424,70,12
3144,96,13
871,73,14
1394,77,15
3447,78,16
1083,79,17
750,77,18
1686,62,19
413,67,20
4123,58,21
979,158,22
1292,98,23
899,78,24
872,93,25
47441,82,26
1201,91,27
16709,6628,28
812,67,29
1316,63,30
3815,57,31
722,73,32
1166,70,33
4199,54,34
1134,63,35
831,77,36
2178,73,37
1482,63,38
1090,82,39
1182,66,40
1180,74,41
2191,69,42
1913,59,43
2641,68,44
