attach,https://hanspetzersnode.org:14267 score: 44.759270802140236 scoreNorm: 0.19042408972498556
868,79,0
1012,74,1
1472,63,2
711,40,3
670,61,4
679,80,5
4468,69,6
811,51,7
971,56,8
478,47,9
20201,376,10
328,66,11
707,33,12
867,67,13
751,52,14
399,44,15
1757,39,16
611,57,17
2198,38,18
517,58,19
627,70,20
3086,2277,21
680,45,22
7920,76,23
570,63,24
860,55,25
416,48,26
409,46,27
604,44,28
499,76,29
624,66,30
6969,66,31
344,79,32
568,79,33
938,69,34
31460,803,35
641,67,36
630,68,37
638,92,38
1177,48,39
12568,91,40
5210,77,41
540,56,42
699,69,43
633,48,44
