attach,https://ultranode.iotatoken.nl:443 score: 224.25625413682724 scoreNorm: 0.9977626991362504
17759,27746,0
635,102,1
2000,28498,2
507,95,3
706,1158,4
20426,24541,5
8592,83,6
1194,101,7
5151,101,8
535,83,9
1081,645,10
2178,139,11
988,114,12
595,115,13
657,96,14
3878,114,15
794,82,16
19330,1240,17
11700,38695,18
53850,398,19
37557,57442,20
744,58580,21
5290,36010,22
10806,4597,23
854,114,24
2274,82,25
11483,512,26
9212,256,27
936,101,28
610,82,29
9157,82,30
663,114,31
1147,114,32
1081,94,33
621,113,34
2419,82,35
1886,82,36
8529,1474,37
1829,7301,38
828,114,39
941,142,40
880,83,41
787,96,42
1264,95,43
