attach,https://hanspetzersnode.org:14267 score: 90.38534674979746 scoreNorm: 0.40214319945083754
764,45,0
26120,84,1
519,65,2
401,80,3
35334,58,4
8399,77,5
21828,5350,6
2285,1181,7
1374,60,8
753,76,9
1863,58,10
1209,64,11
14638,75,12
371,47,13
471,58,14
639,65,15
30892,86,16
762,64,17
1398,58,18
344,58,19
461,65,20
790,63,21
30590,27005,22
2511,11224,23
1875,64,24
555,61,25
422,65,26
464,78,27
293,48,28
683,58,29
668,64,30
860,62,31
884,81,32
40558,64,33
697,64,34
619,46,35
500,45,36
545,58,37
517,46,38
5007,57,39
593,45,40
508,89,41
760,78,42
874,57,43
4901,52,44
