attach,https://node-iota.org:14267 score: 81.3215598128736 scoreNorm: 0.3515344911838098
581,58,0
1468,77,1
9604,68,2
1177,64,3
579,56,4
359,87,5
4343,65,6
679,65,7
10079,9226,8
5986,52,9
604,53,10
15805,208,11
38457,5057,12
6375,8124,13
3402,94,14
3375,69,15
1643,67,16
15897,609,17
476,77,18
953,53,19
17921,8756,20
721,33650,21
1989,75,22
2980,18674,23
465,81,24
7010,76,25
648,58,26
743,75,27
554,46,28
21290,16478,29
1858,77,30
16255,7666,31
3262,57,32
2820,88,33
8951,76,34
15681,225,35
9431,697,36
30537,13623,37
6550,23388,38
27852,602,39
19512,33520,40
1252,64,41
595,87,42
1526,88,43
