attach,http://node05.iotatoken.nl:14265 score: 44.398875209263394 scoreNorm: 0.19306225368225338
390,60,0
3265,57,1
4435,64,2
425,2687,3
10106,66,4
3061,57,5
337,60,6
5823,59,7
5000,244,8
507,60,9
739,58,10
336,67,11
385,60,12
899,65,13
2177,60,14
1077,65,15
309,58,16
1804,2510,17
12528,65,18
5807,57,19
3070,61,20
1614,61,21
1737,203,22
271,66,23
5965,60,24
448,60,25
307,63,26
864,64,27
5430,65,28
572,64,29
4193,60,30
627,66,31
1103,58,32
658,1561,33
699,60,34
972,65,35
345,78,36
516,67,37
2421,63,38
3714,58,39
423,61,40
1188,67,41
362,57,42
512,65,43
