attach,https://nodes.thetangle.org:443 score: 103.00966626799509 scoreNorm: 0.44792302118065
2221,120,0
451,112,1
598,166,2
650,8424,3
359,360,4
373,2105,5
379,168,6
660,121,7
594,136,8
584,6309,9
523,129,10
967,741,11
489,128,12
2456,765,13
454,767,14
484,105,15
501,766,16
484,358,17
340,142,18
593,131,19
472,4066,20
995,162,21
1922,96,22
1388,177,23
370,98,24
534,18851,25
925,206,26
657,130,27
1092,778,28
380,448,29
511,169,30
548,130,31
971,196,32
566,118,33
387,115,34
451,94,35
553,180,36
1434,143,37
1311,92,38
1303,156,39
1800,148,40
1042,79,41
824,12614,42
