attach,http://89.163.242.213:14265 score: 233.39372309705945 scoreNorm: 1
4919,1887,0
12996,32197,1
37839,191,2
391,52,3
844,63,4
641,6095,5
478,57,6
992,64,7
611,57,8
419,70,9
1664,51,10
884,63,11
609,70,12
1471,57,13
848,58,14
575,64,15
8362,65273,17
75314,79884,16
44694,37820,18
50725,10945,19
2110,12685,20
511,70,21
622,64,22
16203,159,23
540,23653,24
473,73,25
694,63,26
514,57,27
9681,10243,28
11711,27545,29
608,51,30
870,52,31
16379,5996,32
424,58,33
364,58,34
417,64,35
472,58,36
733,65,37
15325,1647,38
740,71,39
4485,59,40
857,60,41
653,71,42
7326,68,43
