attach,https://iotanode.world:14267 score: 58.38246588174115 scoreNorm: 0.26028917989973377
1249,74,0
-1,-1,1
-1,-1,2
796,67,3
6745,57,4
5193,94,5
1351,74,6
1277,59,7
1214,67,8
2334,56,9
1192,77,10
1114,63,11
887,52,12
3962,85,13
1895,100,14
1575,75,15
624,61,16
666,66,17
4471,64,18
9733,3774,19
663,74,20
1305,80,21
1775,77,22
5391,69,23
3543,84,24
1878,59,25
1016,86,26
1239,76,27
8967,73,28
4870,86,29
810,64,30
7690,57,31
2628,61,32
1212,85,33
1765,76,34
854,68,35
1606,75,36
952,75,37
1657,68,38
14764,96,39
3958,300,40
2310,45,41
1567,68,42
616,44,43
