attach,https://dyn.tangle-nodes.com:443 score: 81.03067555794348 scoreNorm: 0.3612627142269226
-1,-1,0
1061,590,1
755,610,2
1087,814,3
-1,-1,4
1875,10168,5
-1,-1,6
1062,300,7
-1,-1,8
1489,1098,9
1105,941,10
-1,-1,11
968,243,12
-1,-1,13
817,246,14
881,224,15
-1,-1,16
1050,207,17
1239,561,18
-1,-1,19
1880,180,20
1374,211,21
-1,-1,22
-1,-1,23
12804,8076,24
526,208,25
-1,-1,26
-1,-1,27
3695,871,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
1384,202,34
1110,173,35
689,21979,36
2003,156,37
2015,301,38
1804,11018,39
-1,-1,40
-1,-1,41
-1,-1,42
1711,5009,43
454,201,44
