attach,http://207.180.252.59:14265 score: 45.30074167167531 scoreNorm: 0.19773388948282192
1217,55,0
1014,36,1
833,45,2
399,42,3
556,41,4
937,48,5
544,42,6
947,55,7
906,55,8
1204,36,9
1174,48,10
1155,45,11
806,48,12
1637,42,13
814,48,14
779,36,15
701,43,16
15961,36,17
660,36,18
781,52,19
610,50,20
994,48,21
530,43,22
4320,52,23
953,49,24
661,42,25
926,43,26
705,43,27
950,37,28
619,67,29
449,42,30
590,56,31
438,58,32
6525,44,33
777,36,34
828,37,35
574,60,36
1037,48,37
422,51,38
364,45,39
1695,49,40
881,41,41
508,51,42
