attach,https://trinity.iota-tangle.io:14265 score: 89.54212242364883 scoreNorm: 0.46449278158295837
360,73,0
266,73,1
1107,71,2
419,91,3
661,73,4
595,103,5
528,978,6
597,108,7
383,105,8
475,99,9
522,71,10
520,85,11
650,81,12
334,72,13
346,86,14
5211,82,15
606,85,16
608,84,17
1230,104,18
602,69,19
556,104,20
751,65,21
428,80,22
552,86,23
376,77,24
406,87,25
530,99,26
464,84,27
612,106,28
443,84,29
986,84,30
2139,80,31
690,74,32
434,85,33
2931,64,34
415,71,35
508,92,36
1040,97,37
516,71,38
681,84,39
1413,68,40
685,70,41
501,69,42
490,84,43
445,102,44
