attach,https://ultranode.iotatoken.nl:443 score: 192.7739805094401 scoreNorm: 1
463,140,0
437,106,1
1431,105,2
546,87,3
841,118,4
495,105,5
550,85,6
6204,6776,7
737,2242,8
629,117,9
696,99,10
918,105,11
689,103,12
492,98,13
493,104,14
8922,9237,15
533,11096,16
823,98,17
589,116,18
572,118,19
16950,6610,20
18164,85,21
688,87,22
6479,4068,23
7303,83,24
4843,171,25
544,103,26
571,116,27
1506,1016,28
728,96,29
1403,104,30
1030,4367,31
1316,115,32
21899,8917,33
595,96,34
4284,84,35
1548,115,36
635,102,37
2236,102,38
1190,103,39
2585,423,40
8861,2903,41
2195,115,42
19134,246,43
694,96,44
