attach,https://contabo02.pinter-net.at:14267 score: 10.70740798318928 scoreNorm: 0.053312923290952934
750,57,0
838,62,1
20789,67,2
858,92,3
18586,80,4
736,47,5
626,72,6
2133,60,7
1046,66,8
851,45,9
613,68,10
684,65,11
632,66,12
696,63,13
2291,59,14
725,58,15
1058,53,16
22986,46,17
23003,58,18
598,64,19
883,46,20
27674,46,21
560,46,22
901,72,23
753,63,24
756,76,25
945,154,26
937,63,27
440,61,28
799,74,29
13117,80,30
530,57,31
997,56,32
660,75,33
4892,63,34
1969,75,35
912,44,36
1426,43,37
1705,49,38
628,75,39
2163,80,40
3665,69,41
6288,75,42
615,56,43
723,56,44
