attach,http://mandelhost.de:14265 score: 87.71299521706321 scoreNorm: 0.4367290564596719
7663,46,0
17641,78,1
10621,12619,2
6730,56,3
913,55,4
1451,52,5
681,2382,6
487,58,7
493,51,8
838,1190,9
9220,5169,10
5537,82682,11
64909,19672,12
14554,68596,13
11651,134891,14
102466,55873,15
66724,95902,16
11203,348845,17
216685,143818,18
180276,198822,19
106761,323496,20
33498,401945,21
83909,366563,22
303603,220210,24
231325,337262,25
194982,417774,26
122985,452769,27
535976,334898,23
177426,169891,32
524463,270405,28
498248,287780,29
358084,165118,35
287288,567066,30
251010,607578,31
431445,512244,33
394732,539872,34
437836,126416,41
365297,219410,42
508869,584624,36
417787,659448,37
342657,754921,38
270497,782011,39
169201,885504,40
844118,15404,43
