attach,https://wallet1.iota.town:443 score: 129.04675755500796 scoreNorm: 1
854,50,0
1256,54,1
705,72,2
616,74,3
478,66,4
474,81,5
462,63,6
323,56,7
1126,72,8
797,63,9
449,75,10
11744,1249,11
782,61,12
821,43,13
98992,576,14
29394,13087,15
3131,916,16
796,75,17
763,44,18
516,55,19
970,153,20
12430,552,21
34363,43061,23
83841,64253,22
35540,555,24
6486,383,25
780,73,26
917,74,27
23645,42719,28
7856,44966,30
66001,46654,29
20582,13555,31
806,62,32
948,56,33
1130,74,34
2508,2068,35
1398,68,36
27054,2889,37
1009,56,38
733,69,39
655,57,40
548,69,41
34527,430,42
736,76,43
25926,8081,44
