attach,https://iota1.chain.garden:443 score: 10.920440498789645 scoreNorm: 0.08462390458849504
3994,72,0
3871,68,1
16071,52,2
6234,80,3
9393,52,4
4782,297,5
10669,69,6
15575,53,7
18566,90,8
857,151,9
7213,83,10
524,82,11
19322,44,12
19891,73,13
2308,81,14
4361,74,15
9940,75,16
11047,73,17
8399,68,18
14849,54,19
608,64,20
4680,55,21
8403,57,22
3610,44,23
1450,85,24
2496,55,25
11733,62,26
2496,63,27
1446,61,28
1941,67,29
13207,45,30
29133,111,31
596,62,32
26443,44,33
2630,660,34
1923,85,35
20069,90,36
10177,66,37
588,75,38
2217,57,39
1094,2592,40
7927,55,41
915,72,42
2329,62,43
