attach,https://nod3.theshock.de:443 score: 40.025122717022896 scoreNorm: 0.18084788531064433
842,66,0
458,62,1
1010,76,2
1048,43,3
7852,44,4
644,75,5
577,62,6
648,62,7
469,75,8
291,63,9
446,49,10
328,75,11
802,75,12
707,56,13
8159,75,14
573,57,15
20312,92,16
850,75,17
539,56,18
638,62,19
497,76,20
370,75,21
8912,75,22
616,43,23
890,56,24
866,75,25
877,75,26
669,43,27
727,62,28
435,62,29
671,56,30
503,44,31
699,74,32
368,57,33
455,43,34
1190,44,35
578,56,36
666,57,37
421,75,38
579,75,39
570,63,40
879,63,41
1106,45,42
663,58,43
632,57,44
