attach,https://wallet1.iota.town:443 score: 121.89429302215575 scoreNorm: 0.5445286998916201
701,76,0
870,62,1
449,76,2
1121,13544,3
644,63,4
5398,6351,5
806,74,6
690,80,7
778,75,8
6400,1956,9
658,507,10
536,75,11
2543,14929,12
897,75,13
970,69,14
799,50,15
21468,1358,16
3750,33445,17
614,507,18
7554,4517,19
5782,74,20
33743,2414,21
1018,16106,22
557,475,23
973,129,24
716,75,25
414,80,26
869,67,27
566,86,28
4752,2142,29
793,83,30
859,56,31
1612,9897,32
39336,7440,33
602,56,34
2864,2482,35
1073,74,36
33245,1709,37
42408,1104,38
52430,1723,39
9651,11662,40
1625,2771,41
668,1099,42
15488,1402,43
585,71,44
