attach,https://node02.gubiota.ch:443 score: 41.25226033393102 scoreNorm: 0.1775435044225287
18627,14055,0
784,65,1
467,65,2
7754,78,3
89882,19801,4
87269,2503,5
29743,11133,6
906,46,7
835,65,8
1306,80,9
15878,31573,10
782,47,11
868,56,12
47335,1993,13
1153,47,14
1470,66,15
845,79,16
62042,4033,17
9024,47,18
3784,61,19
-1,-1,20
-1,-1,21
18064,95104,22
13914,111171,23
10224,74875,25
117693,87959,24
85325,7815,26
5795,61986,27
31518,49,28
2662,15530,30
74366,16627,29
508,68,31
48781,31923,32
15647,9146,33
-1,-1,34
-1,-1,35
-1,-1,36
39088,69922,37
48894,8817,38
26442,81,39
8448,76988,40
35011,91,41
20676,640,42
1225,81,43
860,62,44
