attach,https://pow.iota.community:443 score: 49.05241936445236 scoreNorm: 0.2089586680068663
561,209,0
992,110,1
560,184,2
1177,197,3
11800,199,4
523,193,5
1130,90,6
16184,175,7
1088,169,8
1015,192,9
890,211,10
539,182,11
643,196,12
990,160,13
851,171,14
1148,189,15
699,192,16
1085,172,17
1272,187,18
7601,207,19
1125,188,20
925,139,21
732,185,22
707,178,23
1187,211,24
811,195,25
4920,184,26
6803,189,27
939,208,28
567,207,29
775,197,30
28277,187,31
2210,176,32
812,191,33
17170,184,34
545,202,35
1092,176,36
3333,167,37
11711,177,38
34746,175,39
926,126,40
844,187,41
911,375,42
