attach,https://perma.iota.partners:443 score: 39.26661610603333 scoreNorm: 0.18399532200386606
1559,134,0
977,48,1
540,67,2
1195,140,3
1152,149,4
868,159,5
1339,156,6
1022,133,7
870,41,8
846,45,9
990,211,10
1021,123,11
434,32,12
739,116,13
416,139,14
844,128,15
722,160,16
599,117,17
541,134,18
1013,163,19
698,139,20
784,138,21
880,140,22
1613,143,23
683,137,24
1059,441,25
589,165,26
770,140,27
388,135,28
678,115,29
948,164,30
770,143,31
840,33,32
503,136,33
515,141,34
850,39,35
947,51,36
794,38,37
522,46,38
449,154,39
804,160,40
837,51,41
777,47,42
537,46,43
1313,119,44
