attach,https://perma.iota.partners:443 score: 56.31230802536011 scoreNorm: 0.2453820165758472
-1,-1,0
1570342745352,1570342748630,1570342750932,1
1570342780372,1570342781309,1570342782949,2
1570342850513,1570342851040,1570342852010,3
1570342920575,1570342920966,1570342921959,4
1570342955602,1570342956446,1570342960356,5
1570343024753,1570343025308,1570343028156,6
1570343095895,1570343096420,1570343098507,7
1570343165950,1570343166813,1570343169268,8
1570343200981,1570343202376,1570343203505,9
1570343235003,1570343236064,1570343237219,10
1570343761542,1570343762261,1570343767111,11
1570343796559,1570343797731,1570343803342,12
1570343866584,1570343867575,1570343868603,13
1570343936761,1570343937830,1570343939664,14
1570344006808,1570344007772,1570344011994,15
1570344042017,1570344042979,1570344045454,16
1570344112056,1570344112859,1570344115827,17
1570344182093,1570344182506,1570344184791,18
1570344217111,1570344217841,1570344218694,19
1570344287181,1570344288405,1570344289195,20
1570344357251,1570344358171,1570344360071,21
1570344427429,1570344428028,1570344431361,22
1570344462442,1570344463692,1570344466865,23
1570344532534,1570344533040,1570344533351,24
1570344602569,1570344603148,1570344603510,25
1570344637586,1570344638317,1570344645946,26
1570344707758,1570344708279,1570344709351,27
1570344777872,1570344778810,1570344779142,28
1570344953038,1570344953598,1570344954887,29
1570345023076,1570345023793,1570345030627,30
1570345058177,1570345058998,1570345062411,31
1570345128235,1570345128575,1570345131944,32
1570345198279,1570345198755,1570345199068,33
1570345233376,1570345234167,1570345234765,34
1570345268402,1570345269230,1570345271138,35
1570345805682,1570345806932,1570345807319,36
1570345841065,1570345841937,1570345844162,37
1570345911150,1570345911978,1570345916720,38
1570345981181,1570345981789,1570345983004,39
1570346016208,1570346018625,1570346019318,40
1570346086326,1570346087385,1570346088510,41
1570346156445,1570346157341,1570346161102,42
1570346226487,1570346227472,1570346228861,43
