attach,http://207.180.202.219:14265 score: 57.00514821135771 scoreNorm: 0.24944581961960144
-1,-1,0
-1,-1,2
-1,-1,1
-1,-1,4
-1,-1,3
-1,-1,5
-1,-1,6
-1,-1,8
-1,-1,7
-1,-1,9
-1,-1,10
-1,-1,12
-1,-1,11
-1,-1,13
-1,-1,14
-1,-1,16
-1,-1,15
-1,-1,18
-1,-1,17
-1,-1,19
-1,-1,20
1570328845266,1570328991269,1570329002888,21
-1,-1,22
-1,-1,23
1570329025678,1570329159020,1570329166209,24
-1,-1,25
-1,-1,26
1570329209145,1570329288251,1570329327611,27
-1,-1,28
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,32
-1,-1,33
-1,-1,34
-1,-1,35
1570330104672,1570330252425,1570330300450,36
1570330284434,1570330371426,1570330435568,37
-1,-1,38
-1,-1,39
-1,-1,40
1570330585125,1570330590712,1570330668730,41
1570330645151,1570330673399,1570330701601,42
1570330714347,1570330715030,1570330735630,43
1570330764385,1570330764956,1570330782017,44
