attach,https://node-iota.org:14267 score: 92.55582793615758 scoreNorm: 0.4080403897100848
-1,-1,1
-1,-1,0
1570335109300,1570335151646,1570335186328,2
1570335144324,1570335238351,1570335257936,3
1570335214437,1570335346857,1570335353901,4
1570335353684,1570335410425,1570335419094,5
1570335388710,1570335442358,1570335446750,6
1570335910097,1570335934073,1570335944413,7
1570335911099,1570335945108,1570335963709,8
1570336148304,1570336148985,1570336155052,9
1570336183332,1570336197637,1570336200426,10
1570336259597,1570336260773,1570336267503,11
1570336335806,1570336341510,1570336344018,12
1570336371818,1570336373211,1570336379094,13
1570336442018,1570336469869,1570336498245,14
1570336486052,1570336549182,1570336552006,15
1570336555103,1570336649195,1570336649991,16
1570336626155,1570336669483,1570336676420,17
1570336696258,1570336710575,1570336713860,18
1570336730281,1570336817625,1570336844842,19
1570336811334,1570336888829,1570336892087,20
1570336857654,1570336942640,1570336950196,21
1570336933716,1570336995759,1570337014850,22
1570336968818,1570337034220,1570337039833,23
1570337002843,1570337048455,1570337050163,24
1570337088979,1570337122586,1570337140757,25
1570337159022,1570337179733,1570337183377,26
1570337235069,1570337236177,1570337244897,27
1570337291180,1570337299545,1570337351164,28
1570337355221,1570337397769,1570337405996,29
1570337396245,1570337450838,1570337452233,30
1570337476389,1570337496254,1570337502662,31
1570337510477,1570337533456,1570337557714,32
1570337586524,1570337603218,1570337605301,33
1570337655729,1570337657411,1570337658385,34
1570337709817,1570337750329,1570337756046,35
1570337776931,1570337802123,1570337805314,36
1570337827949,1570337828696,1570337830013,37
-1,-1,38
1570337954435,1570337961872,1570337965994,39
1570337969439,1570337985270,1570337992525,40
1570338252186,1570338255266,1570338260187,41
1570338313357,1570338314915,1570338320169,42
1570338368382,1570338372119,1570338385258,43
1570338423403,1570338424461,1570338434199,44
