attach,https://node-iota.org:14267 score: 42.82339460961521 scoreNorm: 0.3020160633220602
-1,-1,2
1570309201407,1570309274140,1570309284561,1
1570309171374,1570309311997,1570309314744,0
1570309411609,1570309481057,1570309483141,4
1570309351513,1570309500299,1570309508026,3
1570309441628,1570309512200,1570309589534,5
1570309501671,1570309618700,1570309623140,6
1570309588839,1570309641311,1570309645556,7
1570309652867,1570309678638,1570309702986,8
1570309712999,1570309755304,1570309756406,9
1570309803090,1570309837578,1570309840075,10
1570309893157,1570309894002,1570309906662,11
1570309923194,1570310014620,1570310019462,12
1570310013264,1570310026372,1570310039407,13
1570310073372,1570310151764,1570310160486,14
1570310103418,1570310180476,1570310187899,15
1570310193487,1570310211068,1570310219943,16
1570310253619,1570310282369,1570310289635,17
1570310313662,1570310321321,1570310345168,18
1570310373764,1570310417377,1570310472973,19
1570310433795,1570310579892,1570310595749,20
1570310495149,1570310650765,1570310659030,21
1570310523170,1570310812773,1570310825976,22
1570310615228,1570310892490,1570310904802,23
1570310675282,1570310925057,1570310927014,24
1570310705309,1570310935024,1570310939618,25
1570310795386,1570311032322,1570311075070,26
1570310855415,1570311084391,1570311086859,27
1570310910631,1570311203708,1570311218082,28
1570310975665,1570311267324,1570311271096,29
1570311005768,1570311283699,1570311284121,30
-1,-1,31
1570311155981,1570311449951,1570311456961,32
1570311216261,1570311476223,1570311488291,33
1570311276518,1570311492131,1570311495999,34
1570311306542,1570311518137,1570311523479,35
1570311392845,1570311555236,1570311619214,36
1570311448924,1570311643300,1570311653970,37
1570311474010,1570311696347,1570311725431,38
1570311578426,1570311811182,1570311823553,39
1570311627455,1570311853097,1570311856470,40
1570311668486,1570311878002,1570311886988,41
1570311758640,1570311896027,1570311896421,42
1570311818707,1570312029634,1570312056813,43
1570311878753,1570312096917,1570312106881,44
