attach,http://207.180.202.219:14265 score: 84.54835698501756 scoreNorm: 0.36566691633899745
-1,-1,0
-1,-1,1
-1,-1,2
-1,-1,4
-1,-1,3
-1,-1,5
-1,-1,6
-1,-1,8
-1,-1,7
-1,-1,9
-1,-1,10
-1,-1,11
-1,-1,12
-1,-1,14
-1,-1,13
-1,-1,15
-1,-1,17
-1,-1,16
-1,-1,18
1570328834943,1570328980922,1570328991498,19
1570328864960,1570329002543,1570329007649,20
1570328925071,1570329078459,1570329097767,21
-1,-1,22
1570329075261,1570329165648,1570329188721,23
1570329165345,1570329282015,1570329287426,24
1570329225553,1570329327259,1570329340493,25
-1,-1,26
1570329345657,1570329476361,1570329507716,27
-1,-1,28
-1,-1,29
1570329525945,1570329630179,1570329631555,30
1570329585997,1570329677725,1570329703784,31
1570329676126,1570329710445,1570329762591,33
1570329646099,1570329787098,1570329821063,32
1570329736346,1570329822450,1570329846335,34
1570329886602,1570330041635,1570330099059,35
-1,-1,37
-1,-1,36
-1,-1,38
-1,-1,40
-1,-1,39
-1,-1,41
-1,-1,42
