attach,http://207.180.202.219:14265 score: 92.17775270238205 scoreNorm: 0.4092092205993204
-1,-1,1
-1,-1,0
-1,-1,2
-1,-1,3
1570312193193,1570312346448,1570312366093,4
-1,-1,5
-1,-1,6
-1,-1,9
-1,-1,8
-1,-1,7
-1,-1,11
-1,-1,10
-1,-1,12
-1,-1,13
-1,-1,14
-1,-1,16
-1,-1,15
-1,-1,18
-1,-1,17
-1,-1,19
-1,-1,20
-1,-1,21
-1,-1,22
-1,-1,23
-1,-1,25
-1,-1,24
-1,-1,28
-1,-1,27
-1,-1,26
-1,-1,29
-1,-1,30
-1,-1,31
-1,-1,33
-1,-1,32
-1,-1,34
-1,-1,36
-1,-1,35
-1,-1,37
-1,-1,38
-1,-1,39
-1,-1,41
1570314475915,1570314583011,1570314663607,40
-1,-1,42
