attach,https://dyn.tangle-nodes.com:443 score: 90.37969799586705 scoreNorm: 0.37850012759651624
-1,-1,0
-1,-1,1
1570320048302,1570320049575,1570320051497,2
1570320117371,1570320132264,1570320141660,3
1570320153378,1570320154877,1570320159893,4
1570320550634,1570320552313,1570320555467,5
1570320585668,1570320588815,1570320594993,6
-1,-1,7
-1,-1,8
1570320971299,1570320972843,1570320973666,9
1570321006318,1570321007967,1570321016998,10
-1,-1,11
1570321146562,1570321148799,1570321152483,12
1570321181582,1570321182442,1570321191992,13
-1,-1,14
-1,-1,15
-1,-1,16
-1,-1,17
-1,-1,18
-1,-1,19
-1,-1,20
1570321672352,1570321674086,1570321676449,21
-1,-1,22
1570321812468,1570321838728,1570321839471,23
1570321846498,1570321869976,1570321879090,24
1570321917538,1570321920996,1570321931600,25
1570321974588,1570321975913,1570321981266,26
-1,-1,27
-1,-1,28
1570322150761,1570322152220,1570322163897,29
1570322220941,1570322241206,1570322242957,30
1570322290022,1570322291216,1570322299011,31
1570322325046,1570322346650,1570322348811,32
1570322395494,1570322415476,1570322416480,33
1570322465645,1570322467353,1570322474029,34
1570322535852,1570322541980,1570322570833,35
1570322642215,1570322644391,1570322647525,36
1570322712291,1570322719812,1570322739463,37
1570322747387,1570322750691,1570322771051,38
1570322816689,1570322820238,1570322829293,39
1570322886731,1570322888108,1570322888962,40
1570322956777,1570322958624,1570322961582,41
1570322991878,1570323013583,1570323018910,42
1570323061958,1570323063582,1570323074145,43
1570323132001,1570323133144,1570323133915,44
