attach,http://mandelhost.de:14265 score: 104.79064819335936 scoreNorm: 0.9093487839223385
868858,0
916309,1
1095526,2
1221735,3
1261904,4
1210495,5
1174202,6
1242946,7
1238744,8
1224601,9
1267218,10
753285,23
1553303,11
1444419,16
1737317,12
1692521,13
1753364,14
1874743,15
1969357,17
2045729,18
2190862,19
2186377,20
2204348,21
2277461,22
2326065,24
2372074,25
2420006,26
2402203,27
2480417,29
2493483,30
2532183,28
2507893,31
2594194,32
2800754,34
3185627,35
3270115,36
3294266,37
3233103,38
3716513,33
3235756,39
3564910,40
3678100,41
3717136,42
