attach,https://hanspetzersnode.org:14267 score: 86.81349884346128 scoreNorm: 0.351936784129714
60668,0
77525,1
23483,2
28489,3
16938,4
68636,5
1940,6
25431,7
10322,8
105258,9
64500,10
90683,11
169826,12
128419,13
141397,14
156328,15
142560,16
237025,17
273740,18
282145,19
317347,20
304769,21
306503,22
330480,23
342489,24
264137,26
314859,25
200291,28
232713,30
-1,36
-1,32
450487,27
535749,29
-1,37
479418,31
135673,38
469413,33
463435,34
418015,35
235265,39
253637,40
243580,41
266503,42
243110,43
248173,44
