attach,https://wallet1.iota.town:443 score: 141.17278761863707 scoreNorm: 0.5723061222393341
66326,0
36856,1
32023,2
85908,3
166595,4
167643,5
229369,6
222012,7
221361,8
262317,9
227429,10
199632,11
180240,12
166097,13
20468,16
191354,15
428374,14
318850,17
274690,18
411379,19
421687,21
450901,22
463677,23
477107,24
479269,25
464424,26
886663,20
485569,27
518075,28
499574,29
529237,30
557896,31
549172,32
560181,33
524134,34
479226,35
465017,36
485921,37
450583,38
405715,39
374345,40
485226,41
470740,42
486056,43
494127,44
