attach,http://5.189.141.225:14265 score: 40.295141944885245 scoreNorm: 0.16462528764352322
29900,0
36001,1
12256,2
102895,3
58691,4
172768,5
132020,6
88427,7
115589,8
75274,9
235564,10
256465,11
308841,12
300432,13
328917,14
257556,15
228828,16
332152,17
383565,18
362915,19
349727,20
472734,21
570394,22
578964,23
606907,24
649693,25
644222,26
659711,27
759094,28
767385,29
755111,30
751452,31
858643,32
926220,33
947175,34
913429,35
990619,36
1029893,37
1032583,38
1033468,39
1107366,40
1195724,41
1220105,42
1208813,43
1298425,44
