attach,https://trinity.iota-tangle.io:14265 score: 124.79584068059921 scoreNorm: 0.5861729468462692
539,1822,0
690,707,1
545,241,2
455,2084,3
556,570,4
2502,1212,5
481,2703,6
502,4292,7
754,928,8
518,535,9
486,2451,10
1155,4834,11
599,1562,12
806,4310,13
287,643,14
1551,2976,15
466,335,16
595,490,17
738,390,18
565,4984,19
1309,3015,20
555,1005,21
2208,309,22
862,507,23
932,1315,24
481,2507,25
612,463,26
627,3405,27
770,1766,28
702,1933,29
616,1105,30
593,699,31
323,1808,32
511,1407,33
952,1489,34
341,1134,35
490,858,36
342,1083,37
884,868,38
420,1806,39
740,855,40
535,1859,41
415,2926,42
