attach,http://node04.iotatoken.nl:14265 score: 46.62049784809662 scoreNorm: 0.2189790497665786
486,17221,0
12657,1745,1
385,11539,2
1301,13096,3
638,16398,4
16360,8170,5
678,6079,6
1576,5786,7
1282,15498,8
5145,7001,9
871,6308,10
5410,26427,11
10014,2601,12
469,1670,13
12509,20138,14
6423,8988,15
1363,6625,16
21543,17852,17
7821,34705,18
404,7313,19
861,1515,20
914,4595,21
584,13499,22
1392,22443,23
9173,2837,24
763,6312,25
1303,1008,26
4449,4396,27
1843,6617,28
10535,6251,29
876,3331,30
10946,5616,31
7571,3456,32
9981,2189,33
2316,16333,34
1077,678,35
863,5224,36
537,7799,37
1582,6115,38
6172,4313,39
1022,3960,40
1070,5216,41
6715,1682,42
14339,1827,43
9707,12754,44
