attach,https://ultranode.iotatoken.nl:443 score: 190.5918379720052 scoreNorm: 1
1138,3844,0
19901,65240,1
2562,62606,2
37131,95130,3
-1,-1,4
64223,72736,5
-1,-1,7
-1,-1,6
-1,-1,8
-1,-1,10
106259,86888,9
-1,-1,11
-1,-1,13
113076,118153,12
-1,-1,15
-1,-1,14
-1,-1,17
-1,-1,16
-1,-1,19
-1,-1,18
-1,-1,21
-1,-1,20
-1,-1,22
-1,-1,24
-1,-1,23
-1,-1,25
-1,-1,26
-1,-1,27
-1,-1,28
-1,-1,29
-1,-1,31
-1,-1,30
-1,-1,32
-1,-1,33
-1,-1,35
-1,-1,34
-1,-1,36
-1,-1,39
-1,-1,38
-1,-1,37
-1,-1,40
-1,-1,42
-1,-1,41
-1,-1,43
-1,-1,44
